canal,url_canal,nome_video,url_video,data_visualizacao
Otávio Miranda,https://www.youtube.com/channel/UCORZcu08VQiRCKpVGHTWwAA,Renomeando arquivos com PythonOtávio Miranda20 de jul. de 2021 17:25:59 BRT,https://www.youtube.com/watch?v=KkvJNPhYm9Y,2021-07-20 17:25:59
Otávio Miranda,https://www.youtube.com/channel/UCORZcu08VQiRCKpVGHTWwAA,Renomeando arquivos com PythonOtávio Miranda19 de jul. de 2021 23:10:49 BRT,https://www.youtube.com/watch?v=KkvJNPhYm9Y,2021-07-19 23:10:49
PyCursos,https://www.youtube.com/channel/UCPvtMjhy7gnap-RYrUbjU6g,Renomeando e movendo arquivos com PythonPyCursos19 de jul. de 2021 23:06:29 BRT,https://www.youtube.com/watch?v=nj-0Xefub5Y,2021-07-19 23:06:29
Código Fonte TV,https://www.youtube.com/channel/UCFuIUoyHB12qpYa8Jpxoxow,Python na Prática fazendo Web Scraping (de JavaScript dinâmico) // Mão no Código #28Código Fonte TV18 de jul. de 2021 19:03:23 BRT,https://www.youtube.com/watch?v=Vxl5jUltHBo,2021-07-18 19:03:23
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,Como criar BOT no TELEGRAM em PYTHON | Python na Prática #10Programação Dinâmica18 de jul. de 2021 18:44:42 BRT,https://www.youtube.com/watch?v=hOow3Omxm2U,2021-07-18 18:44:42
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,RASPAGEM de DADOS com PYTHON usando BeautifulSoup | Python na Prática #9Programação Dinâmica18 de jul. de 2021 18:27:55 BRT,https://www.youtube.com/watch?v=kqvWOcPog4s,2021-07-18 18:27:55
O Bruno Germano,https://www.youtube.com/channel/UCBWbWViVqDHckknir8PIIdg,BAIXANDO DADOS DO YOUTUBE USANDO API - DIÁRIO DE CÓDIGO - 055O Bruno Germano18 de jul. de 2021 18:21:15 BRT,https://www.youtube.com/watch?v=UrdyoAUhF64,2021-07-18 18:21:15
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,Consumindo dados da API do YOUTUBE com Python | Python na Prática #11Programação Dinâmica18 de jul. de 2021 18:04:24 BRT,https://www.youtube.com/watch?v=olDCJ1w3FLM,2021-07-18 18:04:24
Flow Poop [OFICIAL],https://www.youtube.com/channel/UC_vCmODMFq9pYyiY2wZVsIQ,Felipe Neto mandou um video pro MonarkFlow Poop [OFICIAL]18 de jul. de 2021 18:02:34 BRT,https://www.youtube.com/watch?v=N6IxjG-rxmg,2021-07-18 18:02:34
Smart Fit,https://www.youtube.com/channel/UCJi60eWE1f3OMx9G4V2LDMw,Dança | Discovery | Vai que é Fácil #VaiPraSmartSmart Fit17 de jul. de 2021 22:44:14 BRT,https://www.youtube.com/watch?v=Rwf0WH2rASA,2021-07-17 22:44:14
Smart Fit,https://www.youtube.com/channel/UCJi60eWE1f3OMx9G4V2LDMw,FitDance na Smart Fit! #GeraçãoSmart #SmartFitSmart Fit17 de jul. de 2021 22:42:36 BRT,https://www.youtube.com/watch?v=gbzYJK7LSmk,2021-07-17 22:42:36
G1,https://www.youtube.com/channel/UCaGmdJSSiR7fkh2A-c6emsA,DJ Ivis agride ex-mulher l SEGUE O FIO l G1G115 de jul. de 2021 10:05:48 BRT,https://www.youtube.com/watch?v=-yW99IXfxFA,2021-07-15 10:05:48
Fisioprev com Guilherme Stellbrink,https://www.youtube.com/channel/UCD9Sbq0xN8eE2xcYhTkyh-g,MELHORES EXERCÍCIOS PARA ACABAR COM SUA DOR NA COLUNA - Fisioprev com Guilherme StellbrinkFisioprev com Guilherme Stellbrink14 de jul. de 2021 10:58:07 BRT,https://www.youtube.com/watch?v=H6S8HRpQOUc,2021-07-14 10:58:07
Gabriel Monteiro,https://www.youtube.com/channel/UCYCMK_puWK2V5AtdQNIOnhw,RESPOSTA A GLOBO! FUI PEGO COM 15 MILHÕES?Gabriel Monteiro13 de jul. de 2021 14:42:11 BRT,https://www.youtube.com/watch?v=8IPyz0nhqvU,2021-07-13 14:42:11
Gabriel Monteiro,https://www.youtube.com/channel/UCYCMK_puWK2V5AtdQNIOnhw,"ME ATACARAM NO RJ, POLÍCIA REAGIU.Gabriel Monteiro13 de jul. de 2021 14:40:35 BRT",https://www.youtube.com/watch?v=gfPs4BosWk4,2021-07-13 14:40:35
Erick Ruano,https://www.youtube.com/channel/UCNhngEaEQNj2hvQWJ1jwDpA,Riso minionsErick Ruano13 de jul. de 2021 11:19:47 BRT,https://www.youtube.com/watch?v=4haD_L-m9vo,2021-07-13 11:19:47
Geovanna priscila,https://www.youtube.com/channel/UCnDoZ2K5HITOZbTCDpLMmGA,Risada ?  MinionsGeovanna priscila13 de jul. de 2021 11:19:39 BRT,https://www.youtube.com/watch?v=FtrjQQp8CUc,2021-07-13 11:19:39
ⴺ Digital,https://www.youtube.com/channel/UCf0oLexObfcINJvc55rG1xw,TOQUE CELULAR RINGTONES MINIONSⴺ Digital13 de jul. de 2021 11:19:29 BRT,https://www.youtube.com/watch?v=Hz0JSQgDg6k,2021-07-13 11:19:29
Toques para celular - ToquesParaBaixar,https://www.youtube.com/channel/UCfCHi1UWeaJL_EDpXd_0zAA,"6 Sons e toques de Notificação para Baixar Grátis, Notification sound DownloadToques para celular - ToquesParaBaixar13 de jul. de 2021 11:19:22 BRT",https://www.youtube.com/watch?v=rwcTyHhrlkc,2021-07-13 11:19:22
Toques para celular - ToquesParaBaixar,https://www.youtube.com/channel/UCfCHi1UWeaJL_EDpXd_0zAA,Toques para Celular e ringtones para Baixar Grátis 02Toques para celular - ToquesParaBaixar13 de jul. de 2021 11:19:19 BRT,https://www.youtube.com/watch?v=ne7I27412MQ,2021-07-13 11:19:19
Toques para celular - ToquesParaBaixar,https://www.youtube.com/channel/UCfCHi1UWeaJL_EDpXd_0zAA,zumbi efeito sonoro www baixartoquescelular orgToques para celular - ToquesParaBaixar13 de jul. de 2021 11:19:17 BRT,https://www.youtube.com/watch?v=IP3lMrlrcJs,2021-07-13 11:19:17
Toques para celular - ToquesParaBaixar,https://www.youtube.com/channel/UCfCHi1UWeaJL_EDpXd_0zAA,Toque para celular   Zoo zoo FunnyToques para celular - ToquesParaBaixar13 de jul. de 2021 11:19:13 BRT,https://www.youtube.com/watch?v=oGL3DCbN1DI,2021-07-13 11:19:13
Toques para celular - ToquesParaBaixar,https://www.youtube.com/channel/UCfCHi1UWeaJL_EDpXd_0zAA,"Toque para Celular, yabba dabba doo Fred FlinstonesToques para celular - ToquesParaBaixar13 de jul. de 2021 11:19:10 BRT",https://www.youtube.com/watch?v=VkKU82xzx1s,2021-07-13 11:19:10
Toques para celular - ToquesParaBaixar,https://www.youtube.com/channel/UCfCHi1UWeaJL_EDpXd_0zAA,"→ toques de celula, Windows Explosão, Baixe toques GrátisToques para celular - ToquesParaBaixar13 de jul. de 2021 11:19:02 BRT",https://www.youtube.com/watch?v=XwsxYyzGZPE,2021-07-13 11:19:02
Toques para celular - ToquesParaBaixar,https://www.youtube.com/channel/UCfCHi1UWeaJL_EDpXd_0zAA,"🔉Toque para Celular, miado de gato, gato miando original, gatos miando muito altoToques para celular - ToquesParaBaixar13 de jul. de 2021 11:18:58 BRT",https://www.youtube.com/watch?v=RMWkXisdxg8,2021-07-13 11:18:58
Toques para celular - ToquesParaBaixar,https://www.youtube.com/channel/UCfCHi1UWeaJL_EDpXd_0zAA,Jegue relinchando Toque para celularToques para celular - ToquesParaBaixar13 de jul. de 2021 11:18:44 BRT,https://www.youtube.com/watch?v=9eqDqfTOiGg,2021-07-13 11:18:44
Toques para celular - ToquesParaBaixar,https://www.youtube.com/channel/UCfCHi1UWeaJL_EDpXd_0zAA,"Som de Notificação, Efeitos Sonoro Gun Shot, Sons de ArmasToques para celular - ToquesParaBaixar13 de jul. de 2021 11:18:38 BRT",https://www.youtube.com/watch?v=O_rr3JIiO3k,2021-07-13 11:18:38
Toques para celular - ToquesParaBaixar,https://www.youtube.com/channel/UCfCHi1UWeaJL_EDpXd_0zAA,🔔 Bam Bam Birrr Som de Notificação | Toques de NotificaçãoToques para celular - ToquesParaBaixar13 de jul. de 2021 11:18:35 BRT,https://www.youtube.com/watch?v=NtGHjEY6tic,2021-07-13 11:18:35
Toques para celular - ToquesParaBaixar,https://www.youtube.com/channel/UCfCHi1UWeaJL_EDpXd_0zAA,"🔔Carregando Arma, Som e Toque NotificaçãoToques para celular - ToquesParaBaixar13 de jul. de 2021 11:18:31 BRT",https://www.youtube.com/watch?v=d23G26wDiSI,2021-07-13 11:18:31
Toques para celular - ToquesParaBaixar,https://www.youtube.com/channel/UCfCHi1UWeaJL_EDpXd_0zAA,"🔔Chaves Disco voador, notification sound, Toque de Notificação grátisToques para celular - ToquesParaBaixar13 de jul. de 2021 11:18:27 BRT",https://www.youtube.com/watch?v=gv3Tf8cCfbc,2021-07-13 11:18:27
Toques para celular - ToquesParaBaixar,https://www.youtube.com/channel/UCfCHi1UWeaJL_EDpXd_0zAA,🔔Chegou a Mensagem Som e Toque de NotificaçãoToques para celular - ToquesParaBaixar13 de jul. de 2021 11:18:24 BRT,https://www.youtube.com/watch?v=pKuVhZJmM18,2021-07-13 11:18:24
Toques para celular - ToquesParaBaixar,https://www.youtube.com/channel/UCfCHi1UWeaJL_EDpXd_0zAA,"🔔Toque de Notificação, EOQ, Toques de Notificação para Celular grátisToques para celular - ToquesParaBaixar13 de jul. de 2021 11:18:21 BRT",https://www.youtube.com/watch?v=L7aAHdDuXi8,2021-07-13 11:18:21
Roger Oliveira,https://www.youtube.com/channel/UCgYbnhM6dWR6uSFoNLWXVNg,Toque para celular - Link para download na descriçãoRoger Oliveira13 de jul. de 2021 11:18:04 BRT,https://www.youtube.com/watch?v=IEDoXZW1KUI,2021-07-13 11:18:04
Denilton Duarte,https://www.youtube.com/channel/UCzN6tNh0q6J77DDjKfbSb3A,Toques para celular - Agua caindoDenilton Duarte13 de jul. de 2021 11:17:58 BRT,https://www.youtube.com/watch?v=_mtwZwkozI4,2021-07-13 11:17:58
Toques para celular - ToquesParaBaixar,https://www.youtube.com/channel/UCfCHi1UWeaJL_EDpXd_0zAA,"🔔Som de Notificação Faz um Urro, Notificação para Celular, Download toques de NotificaçãoToques para celular - ToquesParaBaixar13 de jul. de 2021 11:17:55 BRT",https://www.youtube.com/watch?v=aY4372TCrjY,2021-07-13 11:17:55
flavio oliveira,https://www.youtube.com/channel/UCyxvj_88ojebGPvZWJ4fqPg,Toque para celular corte de giro motor motoflavio oliveira13 de jul. de 2021 11:17:51 BRT,https://www.youtube.com/watch?v=V4po4wnV5sY,2021-07-13 11:17:51
Júlio Ganhando dinheiro,https://www.youtube.com/channel/UC-e6eUghCxwvq1iRab1iZ5Q,gato gritando.TOQUE PARA CELULARJúlio Ganhando dinheiro13 de jul. de 2021 11:17:47 BRT,https://www.youtube.com/watch?v=PxAkZPNcYRY,2021-07-13 11:17:47
Toques para celular - ToquesParaBaixar,https://www.youtube.com/channel/UCfCHi1UWeaJL_EDpXd_0zAA,"Toque para mensagem de celular, BravoToques para celular - ToquesParaBaixar13 de jul. de 2021 11:17:38 BRT",https://www.youtube.com/watch?v=g9aT1LOq3KY,2021-07-13 11:17:38
Rafael Godoi,https://www.youtube.com/channel/UCR21QhchmWtGsWH11Q1BFbA,toque de celular para mensagens do papa-léguasRafael Godoi13 de jul. de 2021 11:17:34 BRT,https://www.youtube.com/watch?v=XEvMwprt5og,2021-07-13 11:17:34
John's Android,https://www.youtube.com/channel/UCQ8Lml6wNFZXEO-VjJh_zZA,Os MELHORES toques de NOTIFICAÇÃO para celular [PACKS #32]John's Android13 de jul. de 2021 11:16:52 BRT,https://www.youtube.com/watch?v=btKtE2Bf1Xc,2021-07-13 11:16:52
bozez212,https://www.youtube.com/channel/UCfFEbXIpsjEXKcDqR2yBCTQ,Zelda Ocarina of Time Music- Saria's Songbozez21213 de jul. de 2021 11:14:53 BRT,https://www.youtube.com/watch?v=nmB9LsIozSQ,2021-07-13 11:14:53
ESELMC,https://www.youtube.com/channel/UCaMk8EZYtuYKEirIQ1Jy3Ig,Super Mario Bros. Original Theme by NintendoESELMC13 de jul. de 2021 11:14:39 BRT,https://www.youtube.com/watch?v=uhscMsBhNhw,2021-07-13 11:14:39
hg Hannes-H,https://www.youtube.com/channel/UCs3qTvaHwfBmDNo8pwLIJhA,Zelda Main Theme Songhg Hannes-H13 de jul. de 2021 11:14:30 BRT,https://www.youtube.com/watch?v=cGufy1PAeTU,2021-07-13 11:14:30
MasterErnst,https://www.youtube.com/channel/UCXdNFebXDXObli-jwkL-yWw,Pokémon X and Y - Title ThemeMasterErnst13 de jul. de 2021 11:14:24 BRT,https://www.youtube.com/watch?v=gWTZbEbv2gs,2021-07-13 11:14:24
solidsnate228,https://www.youtube.com/channel/UCyvnluLhmW-j2Ur75tpfUWw,Castlevania SOTN: Wood Carving Partitasolidsnate22813 de jul. de 2021 11:14:18 BRT,https://www.youtube.com/watch?v=jL0UoyFS7Ww,2021-07-13 11:14:18
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,"VARIÁVEIS CATEGÓRICAS no Pandas,, dataset GRANDE, dados AUSENTES, bins | Dica de Pandas #6Programação Dinâmica8 de jul. de 2021 00:15:01 BRT",https://www.youtube.com/watch?v=Sp9oqlVBgJc,2021-07-08 00:15:01
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,Método que VERIFICA se dois conjuntos de dados SÃO IGUAIS | DICA DE PANDAS #4Programação Dinâmica8 de jul. de 2021 00:12:26 BRT,https://www.youtube.com/watch?v=a-g36QtGtOg,2021-07-08 00:12:26
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,Métricas de avaliação de um CLASSIFICADOR | Machine Learning #06Programação Dinâmica6 de jul. de 2021 15:53:37 BRT,https://www.youtube.com/watch?v=ePZswmBSLvc,2021-07-06 15:53:37
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,CLASSIFICAÇÃO com Máquinas de Vetores de Suporte (SVM) | Machine Learning #05Programação Dinâmica6 de jul. de 2021 15:25:27 BRT,https://www.youtube.com/watch?v=ba7tMJZbGyA,2021-07-06 15:25:27
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,Primeiros passos com Scikit-Learn | Machine Learning #04Programação Dinâmica6 de jul. de 2021 15:07:02 BRT,https://www.youtube.com/watch?v=39HBlzFV9vk,2021-07-06 15:07:02
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,INTUIÇÃO sobre modelos de CLASSIFICAÇÃO | Machine Learning #03Programação Dinâmica6 de jul. de 2021 15:00:20 BRT,https://www.youtube.com/watch?v=KHCFhVKjy1A,2021-07-06 15:00:20
Amazon Web Services,https://www.youtube.com/channel/UCd6MoB9NC6uYN2grvUNT-Zg,Introduction to Amazon WorkSpacesAmazon Web Services6 de jul. de 2021 14:35:15 BRT,https://www.youtube.com/watch?v=jsqI7KU3S8I,2021-07-06 14:35:15
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,Algoritmos de aprendizado dependem da supervisão humana? | Machine Learning #02Programação Dinâmica6 de jul. de 2021 14:20:04 BRT,https://www.youtube.com/watch?v=KhrZYz-7uYQ,2021-07-06 14:20:04
Gabriel Monteiro,https://www.youtube.com/channel/UCYCMK_puWK2V5AtdQNIOnhw,"ESTOUREI ESQUEMA CRIMINOSO, MÉDICOS FLAGRADOS!!!Gabriel Monteiro5 de jul. de 2021 15:26:56 BRT",https://www.youtube.com/watch?v=3FpNU1cdrbU,2021-07-05 15:26:56
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,Algoritmos de aprendizado dependem da supervisão humana? | Machine Learning #02Programação Dinâmica5 de jul. de 2021 13:24:59 BRT,https://www.youtube.com/watch?v=KhrZYz-7uYQ,2021-07-05 13:24:59
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,Introdução ao Aprendizado de Máquina(do ZERO ao primeiro modelo)| Mãos à Obra Cientista de Dados #01Programação Dinâmica5 de jul. de 2021 12:57:46 BRT,https://www.youtube.com/watch?v=QfYGV064mRI,2021-07-05 12:57:46
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,O que é MACHINE LEARNING? Introdução ao APRENDIZADO DE MÁQUINA | Machine Learning #1Programação Dinâmica5 de jul. de 2021 12:57:40 BRT,https://www.youtube.com/watch?v=u8xgqvk16EA,2021-07-05 12:57:40
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,Método que VERIFICA se dois conjuntos de dados SÃO IGUAIS | DICA DE PANDAS #4Programação Dinâmica5 de jul. de 2021 12:55:27 BRT,https://www.youtube.com/watch?v=a-g36QtGtOg,2021-07-05 12:55:27
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,Primeiros passos com Scikit-Learn | Machine Learning #04Programação Dinâmica5 de jul. de 2021 12:54:43 BRT,https://www.youtube.com/watch?v=39HBlzFV9vk,2021-07-05 12:54:43
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,Método que VERIFICA se dois conjuntos de dados SÃO IGUAIS | DICA DE PANDAS #4Programação Dinâmica4 de jul. de 2021 14:59:18 BRT,https://www.youtube.com/watch?v=a-g36QtGtOg,2021-07-04 14:59:18
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,ORDENEI o resultado do DataFrame DESCRIBE | Dica de Pandas #03Programação Dinâmica4 de jul. de 2021 14:45:10 BRT,https://www.youtube.com/watch?v=eUc77KqyThc,2021-07-04 14:45:10
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,MODIFICANDO o tamanho das COLUNAS de um DataFrame | Dica de Pandas #2Programação Dinâmica4 de jul. de 2021 14:20:52 BRT,https://www.youtube.com/watch?v=nsH6H2gNKgg,2021-07-04 14:20:52
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,CONVERTENDO uma coluna de um DataFrame do Pandas | Dica de Pandas #1Programação Dinâmica4 de jul. de 2021 14:16:29 BRT,https://www.youtube.com/watch?v=MVd1cs7TDgA,2021-07-04 14:16:29
Gabriel Monteiro,https://www.youtube.com/channel/UCYCMK_puWK2V5AtdQNIOnhw,TENTARAM ME MATAR! FOMOS ATRÁS!Gabriel Monteiro4 de jul. de 2021 13:51:18 BRT,https://www.youtube.com/watch?v=Agu9L9mRje8,2021-07-04 13:51:18
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,Como criar um PLANO DE ESTUDOS para se tornar um CIENTISTA DE DADOS?Programação Dinâmica3 de jul. de 2021 23:25:56 BRT,https://www.youtube.com/watch?v=o8NpsLSkKUo,2021-07-03 23:25:56
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,Como iniciar na Visão Computacional? | Conselhos pros seus Primeiros Passos na Visão ComputacionalProgramação Dinâmica3 de jul. de 2021 17:34:27 BRT,https://www.youtube.com/watch?v=HW7oJVqqQxU,2021-07-03 17:34:27
Gabriel Monteiro,https://www.youtube.com/channel/UCYCMK_puWK2V5AtdQNIOnhw,Jojô Todynho x Gabriel MonteiroGabriel Monteiro3 de jul. de 2021 01:08:41 BRT,https://www.youtube.com/watch?v=VielpSwcyM0,2021-07-03 01:08:41
AFP Português,https://www.youtube.com/channel/UCamgdcs45ToPrIV7wmT7iYg,A vacinação e o sistema imunológicoAFP Português3 de jul. de 2021 01:06:07 BRT,https://www.youtube.com/watch?v=Spf1OC9ceWE,2021-07-03 01:06:07
Ministério da Saúde,https://www.youtube.com/channel/UC12zKGLhMhDeDidoctM6BrA,#8 Como a vacina age no organismo das pessoas?Ministério da Saúde3 de jul. de 2021 01:05:04 BRT,https://www.youtube.com/watch?v=p0yk_pUXwRA,2021-07-03 01:05:04
joao paulo Nunes,https://www.youtube.com/channel/UCYj7XcXUrpi0WV2f7XvnDaQ,apresentaçao projeto4joao paulo Nunes2 de jul. de 2021 14:32:50 BRT,https://www.youtube.com/watch?v=RMJKp6m8GaI,2021-07-02 14:32:50
Jair Bolsonaro,https://www.youtube.com/channel/UC8hGUtfEgvvnp6IaHSAg1OQ,Pronunciamento Presidente Jair Bolsonaro - 01/07/2021 / temas da semana:Jair Bolsonaro2 de jul. de 2021 00:50:45 BRT,https://www.youtube.com/watch?v=3VbAAqb7Rns,2021-07-02 00:50:45
André de Moraes,https://www.youtube.com/channel/UCfDyjiMtUVgxE5qWIfBUb9g,De onde vem as boas ideias (dublado)André de Moraes1 de jul. de 2021 23:50:22 BRT,https://www.youtube.com/watch?v=BtgnozUgc58,2021-07-01 23:50:22
Eduardo Freitas,https://www.youtube.com/channel/UC8zry5a6Qo87wzihNz7vDhg,Como criar um Dashboard em 10 minutosEduardo Freitas1 de jul. de 2021 16:37:22 BRT,https://www.youtube.com/watch?v=Jbr_gSG9F_Y,2021-07-01 16:37:22
ImazonOficial,https://www.youtube.com/channel/UCqCEEzXtIVrsnWG-DSadaGA,IPS Amazônia - Índice de Progresso Social na AmazôniaImazonOficial1 de jul. de 2021 14:33:50 BRT,https://www.youtube.com/watch?v=xtHmfuFGK-g,2021-07-01 14:33:50
Social Progress Imperative,https://www.youtube.com/channel/UCbLsf7Sn5Bnjwc5SRzJh7rQ,Beto Verissimo at Skoll World Forum discussing social progress [Portuguese]Social Progress Imperative1 de jul. de 2021 14:30:53 BRT,https://www.youtube.com/watch?v=6XwFYTkBVMI,2021-07-01 14:30:53
EconoMirna,https://www.youtube.com/channel/UCwLxXLLWEIJFHEeTMlYqHTA,"IMPOSTO sobre o DIVIDENDOS nos Fundos Imobiliários, e agora?! Vale a pena compra Fiis?EconoMirna30 de jun. de 2021 22:49:02 BRT",https://www.youtube.com/watch?v=TvhBE-egZ3k,2021-06-30 22:49:02
Einzelgänger,https://www.youtube.com/channel/UCybBViio_TH_uiFFDJuz5tg,How to Stop Taking Things So PersonallyEinzelgänger30 de jun. de 2021 16:20:25 BRT,https://www.youtube.com/watch?v=obfubBHIzE4,2021-06-30 16:20:25
Roberto Walter,https://www.youtube.com/channel/UCGDeZJRe8IhPwngI49-zRuQ,Aula 9 - Campos Calculados - Curso Tableau para Iniciantes (COM CERTIFICADO)Roberto Walter30 de jun. de 2021 00:32:10 BRT,https://www.youtube.com/watch?v=zvVKfCMnYLM,2021-06-30 00:32:10
Roberto Walter,https://www.youtube.com/channel/UCGDeZJRe8IhPwngI49-zRuQ,Aula 8 - Criando Mapas - Curso Tableau para Iniciantes (COM CERTIFICADO)Roberto Walter30 de jun. de 2021 00:28:33 BRT,https://www.youtube.com/watch?v=C4P-14Du7WQ,2021-06-30 00:28:33
Gabriel Monteiro,https://www.youtube.com/channel/UCYCMK_puWK2V5AtdQNIOnhw,PEDRINHO M@TADOR VEIO NA MINHA CASA!Gabriel Monteiro30 de jun. de 2021 00:25:55 BRT,https://www.youtube.com/watch?v=SRw7bmUKzkU,2021-06-30 00:25:55
Gabriel Monteiro,https://www.youtube.com/channel/UCYCMK_puWK2V5AtdQNIOnhw,"POLÍCIA X MARINHA, PANCADARIA FOI FEIA!Gabriel Monteiro30 de jun. de 2021 00:22:53 BRT",https://www.youtube.com/watch?v=T_TXuk9HY8I,2021-06-30 00:22:53
Roberto Walter,https://www.youtube.com/channel/UCGDeZJRe8IhPwngI49-zRuQ,Aula 8 - Criando Mapas - Curso Tableau para Iniciantes (COM CERTIFICADO)Roberto Walter29 de jun. de 2021 23:21:38 BRT,https://www.youtube.com/watch?v=C4P-14Du7WQ,2021-06-29 23:21:38
Roberto Walter,https://www.youtube.com/channel/UCGDeZJRe8IhPwngI49-zRuQ,Aula 7 - Vamos Publicar! - Curso Tableau para Iniciantes (COM CERTIFICADO)Roberto Walter29 de jun. de 2021 23:19:40 BRT,https://www.youtube.com/watch?v=xIscdteaLCA,2021-06-29 23:19:40
Roberto Walter,https://www.youtube.com/channel/UCGDeZJRe8IhPwngI49-zRuQ,Aula 6 - Cores e Labels - Curso Tableau para Iniciantes (COM CERTIFICADO)Roberto Walter29 de jun. de 2021 23:14:44 BRT,https://www.youtube.com/watch?v=9uKuj3IzOxQ,2021-06-29 23:14:44
Roberto Walter,https://www.youtube.com/channel/UCGDeZJRe8IhPwngI49-zRuQ,Aula 5 - Filtros - Curso Tableau para Iniciantes (COM CERTIFICADO)Roberto Walter29 de jun. de 2021 23:11:40 BRT,https://www.youtube.com/watch?v=CKb-zgLJyZA,2021-06-29 23:11:40
